NCT Number,Study Results,Primary Completion Date,Results First Posted
NCT04347538,NO,2022-03-16,
NCT04361838,NO,2021-04-30,
NCT05894538,YES,2022-08-29,2023-08-29
NCT04802408,NO,2025-05-30,
NCT05231408,NO,2024-08-15,
NCT04691908,NO,2021-04-26,
NCT05169008,NO,2023-01-13,
NCT05119608,NO,2022-09-30,
NCT04550338,NO,2022-12-31,
NCT04425538,YES,2021-01-22,2021-08-23
NCT04980508,NO,2021-04-30,
NCT04337008,NO,2020-06-03,
NCT05877508,NO,2025-07-31,
NCT04694638,NO,2023-05-10,
NCT04412538,NO,2020-08-10,
NCT04365738,NO,2020-04-10,
NCT04655638,NO,2021-09-22,
NCT04366908,NO,2022-04-19,
NCT05525208,NO,2023-02-28,
NCT04998708,NO,2021-04-30,
NCT04331808,NO,2021-03-31,
NCT05379608,NO,2023-12-31,
NCT04743908,NO,2022-12-31,
NCT06045338,NO,2025-10,
NCT05035238,NO,2022-09-20,
NCT05421208,NO,2025-06-01,
NCT04435808,YES,2020-07-15,2020-08-10
NCT04981743,NO,2021-09-30,
NCT04799743,NO,2022-05,
NCT05163743,NO,2021-12,
NCT04830943,NO,2021-09-30,
NCT04405843,NO,2020-12-21,
NCT04760743,NO,2021-04-02,
NCT04594343,NO,2021-09-10,
NCT06124638,NO,2024-04-30,
NCT04847479,NO,2023-11-29,
NCT04488484,NO,2021-12-31,
NCT04591184,NO,2023-12-06,
NCT05128721,NO,2023-02-23,
NCT05308602,NO,2022-08-01,
NCT05798221,NO,2025-05-01,
NCT05836402,NO,2024-03,
NCT04684602,NO,2030-07-09,
NCT05890521,NO,2022-06-16,
NCT04747821,NO,2023-03-07,
NCT04479202,NO,2020-04-18,
NCT05226702,NO,2023-12,
NCT05185921,NO,2022-06,
NCT04475302,NO,2021-09-20,
NCT04623021,NO,2020-12-12,
NCT04780321,NO,2021-08-31,
NCT04792021,NO,2021-09-13,
NCT04751721,NO,2021-03,
NCT04793464,NO,2022-12-31,
NCT04652102,NO,2022-06-03,
NCT05054621,NO,2022-08-31,
NCT05613764,NO,2022-12-08,
NCT05425264,NO,2027-01-30,
NCT05365321,NO,2023-02,
NCT04649879,NO,2022-01-26,
NCT05934279,NO,2023-07-30,
NCT04892979,NO,2022-03-31,
NCT05074979,NO,2022-08-01,
NCT05185284,NO,2021-12-30,
NCT04341584,NO,2020-05-10,
NCT05424679,NO,2023-06-30,
NCT05080179,YES,2021-01-28,2022-02-02
NCT04374084,NO,2021-12,
NCT04513184,NO,2021-11-12,
NCT04604184,YES,2021-03-24,2022-03-22
NCT04860284,NO,2021-02-09,
NCT04350684,NO,2020-04-22,
NCT04812184,YES,2020-10-30,2021-11-09
NCT05210179,NO,2023-02-25,
NCT05931679,NO,2025-12,
NCT04658979,NO,2021-03,
NCT05381779,NO,2024-06-05,
NCT04391179,YES,2021-02-22,2022-03-04
NCT04909879,NO,2022-02,
NCT05679479,NO,2024-04-30,
NCT04808284,NO,2021-10-11,
NCT04441684,NO,2020-05-07,
NCT04712279,NO,2021-03-21,
NCT04435184,YES,2020-11-28,2021-11-03
NCT04779879,YES,2021-08-20,2022-08-24
NCT05160779,NO,2022-01,
NCT05765279,NO,2022-12-06,
NCT04816643,NO,2023-10-04,
NCT04460443,NO,2021-08-01,
NCT04793243,NO,2020-10-10,
NCT05475821,NO,2022-09-26,
NCT05400564,NO,2025-03-31,
NCT04715243,NO,2021-08-09,
NCT04320238,NO,2020-05,
NCT05092503,NO,2022-12,
NCT04710303,NO,2023-09,
NCT05258643,NO,2024-05-01,
NCT05652543,NO,2024-01-15,
NCT04542343,NO,2022-12-30,
NCT04412343,NO,2020-10-05,
NCT04706403,YES,2021-02-01,2021-12-20
NCT05607043,YES,2021-02-25,2023-07-13
NCT04385043,NO,2020-10-15,
NCT05429021,NO,2022-12,
NCT05553964,NO,2022-11-18,
NCT05435443,NO,2022-07-21,
NCT05128643,NO,2022-04-12,
NCT04742738,NO,2021-07-30,
NCT04413838,NO,2021-06-15,
NCT04455243,NO,2021-08-30,
NCT05947643,NO,2024-06,
NCT04452643,NO,2021-12,
NCT04381338,NO,2020-06-01,
NCT04916821,NO,2021-07-15,
NCT04526821,NO,2021-02-10,
NCT04894721,NO,2021-09-30,
NCT04707664,YES,2021-12-28,2022-12-20
NCT04390464,NO,2021-05-07,
NCT05367843,NO,2023-07-18,
NCT04695743,NO,2022-06-01,
NCT05012943,NO,2023-01-18,
NCT04750343,NO,2021-07-28,
NCT05305443,NO,2023-08-28,
NCT04635943,NO,2021-04-30,
NCT05295238,NO,2023-03-07,
NCT04824638,NO,2021-06-30,
NCT04361643,NO,2021-08-31,
NCT05833243,NO,2023-04-14,
NCT04937543,NO,2021-10-30,
NCT04751643,NO,2022-12,
NCT04355143,YES,2021-07-21,2022-07-19
NCT06076421,NO,2024-11,
NCT04381364,NO,2021-08-01,
NCT04805203,NO,2022-12-31,
NCT05701943,NO,2021-07-30,
NCT05993143,NO,2021-07-21,
NCT05656443,NO,2023-05-31,
NCT05279443,NO,2021-08-10,
NCT05475743,NO,2023-10-01,
NCT05426343,NO,2022-10-10,
NCT05603143,NO,2023-11-07,
NCT04312243,NO,2023-04-07,
NCT04604743,NO,2022-08-07,
NCT05057169,NO,2024-12-31,
NCT04932369,NO,2022-05-01,
NCT04448769,NO,2020-07-24,
NCT05205668,NO,2022-04-08,
NCT04382768,NO,2021-01,
NCT04506268,NO,2020-10-30,
NCT04508868,NO,2020-12-23,
NCT05254301,NO,2024-03,
NCT05226767,NO,2021-11-02,
NCT04631367,NO,2021-08-20,
NCT04414267,NO,2021-04-28,
NCT04427501,YES,2023-02-21,2022-02-14
NCT06128967,NO,2024-10-18,
NCT04818801,NO,2022-05-05,
NCT04826367,NO,2022-11-01,
NCT05075304,NO,2020-04-14,
NCT04345601,NO,2023-01-10,
NCT04359901,YES,2021-08-02,2022-05-20
NCT05050201,NO,2022-04-20,
NCT04877704,NO,2022-04-30,
NCT04616001,NO,2021-06-30,
NCT04610801,NO,2022-06-08,
NCT04989101,NO,2021-07-31,
NCT04784767,NO,2022-10-30,
NCT04659304,NO,2022-09,
NCT05668104,NO,2023-12-31,
NCT04327401,NO,2020-07-22,
NCT04371367,NO,2021-03-30,
NCT05977101,NO,2023-12-30,
NCT04695301,NO,2021-07-01,
NCT05139901,NO,2023-02-22,
NCT05875701,NO,2023-11-11,
NCT04446104,NO,2020-08-31,
NCT04335201,NO,2021-04-07,
NCT04730401,NO,2022-01-30,
NCT04822701,YES,2021-07-02,2022-06-28
NCT04696601,NO,2023-01-01,
NCT04495101,NO,2021-04-26,
NCT05054101,NO,2023-06-15,
NCT04528667,NO,2021-08-23,
NCT04844567,NO,2021-04-06,
NCT04450004,NO,2020-09-20,
NCT04426201,NO,2022-06-30,
NCT05026801,NO,2021-08-26,
NCT05597501,NO,2023-12,
NCT04914767,NO,2021-10-30,
NCT05419167,NO,2021-12-10,
NCT04718467,NO,2021-05-15,
NCT04848467,NO,2021-11-30,
NCT04895267,NO,2022-08-03,
NCT04962204,NO,2022-03-31,
NCT04853901,NO,2021-01-01,
NCT04873401,YES,2022-03-18,2023-01-25
NCT04325867,NO,2020-10-01,
NCT05037201,NO,2021-10-25,
NCT04380701,NO,2023-04,
NCT04941001,NO,2023-02-01,
NCT04429867,NO,2020-12-07,
NCT04494867,YES,2022-02-28,2023-02-08
NCT04372004,NO,2021-05,
NCT05184101,NO,2023-12-01,
NCT04969601,NO,2022-05-29,
NCT04343001,NO,2021-04,
NCT04500067,NO,2020-09-15,
NCT04346667,NO,2020-08-23,
NCT04542967,NO,2020-09-02,
NCT04494204,NO,2020-12-01,
NCT05281601,NO,2024-03-29,
NCT05321901,NO,2021-11-19,
NCT05453201,NO,2024-02-01,
NCT04589104,NO,2020-08-17,
NCT04647604,NO,2021-01-05,
NCT04385901,NO,2020-09-19,
NCT04399967,NO,2021-06-30,
NCT05696067,NO,2022-12-30,
NCT05143567,NO,2023-07-23,
NCT04877769,NO,2021-08-31,
NCT04751669,NO,2023-10-26,
NCT04594668,NO,2021-04-24,
NCT04343768,NO,2020-04-27,
NCT04609969,NO,2020-10-17,
NCT04647669,NO,2021-11-30,
NCT04583969,YES,2022-04-22,2023-04-13
NCT04853069,NO,2022-02-28,
NCT04551768,NO,2021-08-17,
NCT04593069,NO,2021-01-13,
NCT04346368,NO,2020-12,
NCT04732468,NO,2022-04,
NCT04367168,NO,2021-04-27,
NCT04333368,NO,2021-10-26,
NCT04485169,NO,2020-07-31,
NCT04502069,NO,2021-02,
NCT04443868,NO,2021-04,
NCT04927169,NO,2021-12-31,
NCT05077969,NO,2022-06-28,
NCT04816669,YES,2021-12-01,2022-11-30
NCT04954469,NO,2022-08-18,
NCT04937569,NO,2021-09-01,
NCT05074368,NO,2022-04-27,
NCT05928468,NO,2023-07-31,
NCT05258669,NO,2023-09-01,
NCT04452669,NO,2021-06-29,
NCT04668469,NO,2020-09-15,
NCT04377568,NO,2021-12-01,
NCT04775069,NO,2023-09-30,
NCT04828668,NO,2022-01-31,
NCT04844268,NO,2022-09,
NCT05374668,NO,2021-09-22,
NCT04308668,YES,2020-05-20,2021-04-26
NCT04338568,NO,2020-11-30,
NCT05595369,NO,2024-04,
NCT05175768,NO,2022-12-27,
NCT05017168,NO,2021-11-12,
NCT04369469,YES,2021-02-08,2022-02-15
NCT05699369,NO,2024-02-15,
NCT04866069,NO,2021-09-05,
NCT04395768,NO,2021-09-30,
NCT04386668,NO,2020-07-12,
NCT04412668,YES,2020-10-23,2023-06-27
NCT05188469,NO,2024-08-01,
NCT05780268,YES,2021-02-01,2023-07-21
NCT04477668,NO,2021-11-16,
NCT04606069,NO,2023-04-24,
NCT06175468,NO,2024-04,
NCT04910269,NO,2024-08-01,
NCT04518969,NO,2021-09-16,
NCT05197569,NO,2023-02-14,
NCT05120869,NO,2024-03,
NCT04824469,NO,2022-05,
NCT04640168,YES,2021-05-18,2022-04-14
NCT04632368,NO,2021-08-10,
NCT05348772,NO,2023-02-09,
NCT04389372,NO,2021-03,
NCT04558372,NO,2020-12-12,
NCT05143372,NO,2023-09-30,
NCT05507372,NO,2023-06-01,
NCT05234372,NO,2021-11-30,
NCT05589272,NO,2023-09-01,
NCT04871672,NO,2022-10-24,
NCT05185804,NO,2021-08-06,
NCT05765604,NO,2023-07,
NCT04463472,NO,2020-09-28,
NCT04421404,YES,2021-04-30,2021-05-18
NCT05563168,NO,2024-10,
NCT04425772,NO,2020-08-12,
NCT04377672,NO,2021-09-01,
NCT04944368,NO,2021-07-19,
NCT04709172,NO,2021-08-15,
NCT04869072,NO,2020-11-30,
NCT04432272,YES,2020-11-13,2021-11-12
NCT05246072,NO,2022-02-28,
NCT05104372,NO,2021-11-15,
NCT04809272,NO,2021-12-01,
NCT04537572,NO,2022-09,
NCT04535869,NO,2021-04-01,
NCT04413968,NO,2020-07-02,
NCT05087368,NO,2022-04-01,
NCT04716569,NO,2021-02-20,
NCT05886569,NO,2023-11-24,
NCT05855369,NO,2028-01,
NCT04342169,YES,2021-10-30,2022-11-21
NCT04403269,NO,2021-05-05,
NCT06068569,NO,2024-12,
NCT05252468,NO,2021-11-02,
NCT04394169,NO,2021-10-15,
NCT05463068,NO,2022-08-17,
NCT04880668,NO,2021-12-16,
NCT04428268,NO,2020-06-10,
NCT04590469,NO,2021-12-01,
NCT04574869,NO,2022-09,
NCT04358068,YES,2020-07-08,2021-02-24
NCT04251767,NO,2020-04-30,
NCT04389840,YES,2021-05-20,2022-05-27
NCT04765540,NO,2021-05-06,
NCT04600440,NO,2021-12-31,
NCT04564040,NO,2020-12-11,
NCT06208540,NO,2023-06-30,
NCT04387240,NO,2022-09,
NCT05487040,NO,2023-07-11,
NCT05471440,NO,2022-09-15,
NCT04801940,NO,2024-01-31,
NCT05227040,NO,2021-04-30,
NCT05787340,NO,2021-10-01,
NCT04579640,NO,2021-06-17,
NCT04889040,YES,2021-12-02,2022-05-30
NCT04790240,NO,2022-12,
NCT04547140,YES,2021-12-13,2022-12-13
NCT04385940,NO,2024-10-31,
NCT04357340,NO,2020-04-30,
NCT04504240,NO,2021-04-15,
NCT04382040,NO,2020-11-05,
NCT04913740,NO,2021-09-01,
NCT04729140,NO,2021-12-28,
NCT04474340,NO,2020-09-30,
NCT05706467,NO,2023-04-30,
NCT05370040,NO,2023-09,
NCT05938140,NO,2025-05-30,
NCT06191367,NO,2024-02,
NCT04633772,NO,2021-11-01,
NCT04854772,NO,2022-08-09,
NCT05638672,NO,2024-06-01,
NCT05502068,NO,2021-03-31,
NCT05697068,NO,2024-02-28,
NCT05981872,NO,2023-09,
NCT04329572,NO,2020-05-31,
NCT04969172,NO,2022-07-11,
NCT06013072,NO,2023-12-31,
NCT04780672,NO,2022-05-31,
NCT04887272,NO,2021-08-30,
NCT04398004,NO,2020-11-30,
NCT05693272,NO,2024-05-30,
NCT05027672,NO,2021-08-30,
NCT05898672,NO,2023-08-10,
NCT05515172,NO,2020-05-30,
NCT04325672,NO,2022-12-31,
NCT05433272,NO,2023-09-10,
NCT05729204,NO,2022-11-30,
NCT04612972,NO,2021-02-19,
NCT05675072,NO,2023-09,
NCT04791072,NO,2021-03-01,
NCT04465604,NO,2021-11-01,
NCT04333472,NO,2022-03-06,
NCT05633472,NO,2025-09-30,
NCT04644172,NO,2024-11,
NCT04891172,NO,2022-12-01,
NCT04445272,NO,2020-12-23,
NCT05483504,NO,2022-12,
NCT05373472,NO,2023-12,
NCT04532372,NO,2024-06-18,
NCT05360004,NO,2022-05,
NCT05685901,NO,2022-09-30,
NCT04833101,NO,2021-09-18,
NCT05467904,NO,2023-07,
NCT04371601,NO,2021-12-31,
NCT05216601,NO,2022-07-26,
NCT05532904,NO,2025-03,
NCT04365101,NO,2021-12-30,
NCT05047601,YES,2022-04-12,2023-04-11
NCT04664101,NO,2023-08-01,
NCT04336904,NO,2020-07,
NCT04463004,YES,2020-11-30,2021-08-04
NCT05067946,NO,2022-10,
NCT04982068,NO,2021-10-31,
NCT05000268,NO,2022-05-30,
NCT04528368,NO,2021-12-30,
NCT04328272,NO,2020-05-28,
NCT05132972,NO,2021-11,
NCT04625972,YES,2021-04-07,2022-04-06
NCT05022472,NO,2026-01-31,
NCT05386472,NO,2025-02-05,
NCT05586204,NO,2022-12-31,
NCT04502472,YES,2020-09-30,2021-10-04
NCT05282472,NO,2021-05-07,
NCT05982704,NO,2022-09-19,
NCT04931004,NO,2021-12,
NCT04755972,NO,2021-07-01,
NCT05183672,NO,2024-06-30,
NCT04447469,NO,2021-11-12,
NCT04363372,NO,2020-12,
NCT04497272,NO,2021-03-01,
NCT04412772,NO,2021-12-31,
NCT05379504,NO,2024-11,
NCT04695704,NO,2023-07-01,
NCT04979923,NO,2021-07-31,
NCT04517123,NO,2021-12-31,
NCT05043350,NO,2022-07-30,
NCT04847050,NO,2023-05-25,
NCT04537208,YES,2021-11-19,2023-05-24
NCT04419623,NO,2020-09-22,
NCT04389450,NO,2021-05-17,
NCT04558450,NO,2023-03,
NCT04563650,NO,2021-05-01,
NCT04952350,NO,2021-11,
NCT04401423,YES,2021-06-10,2022-05-09
NCT05069623,NO,2022-12-16,
NCT04386850,NO,2020-11-15,
NCT05172050,YES,2021-06-12,2022-06-06
NCT04779450,NO,2021-08,
NCT05091723,NO,2021-11-24,
NCT04511923,NO,2021-12,
NCT05135650,NO,2022-10-18,
NCT05381350,NO,2023-04-20,
NCT04363450,NO,2021-03-31,
NCT04464408,NO,2021-08-04,
NCT04322123,NO,2020-06-02,
NCT04368923,NO,2020-06-21,
NCT04542850,NO,2021-08-31,
NCT05780450,NO,2023-07,
NCT04334850,NO,2020-12-20,
NCT05204550,NO,2024-12-31,
NCT04542408,NO,2022-09-06,
NCT04329923,YES,2020-11-11,2020-11-13
NCT05575050,NO,2022-01-31,
NCT05539950,NO,2024-10-31,
NCT04891250,NO,2021-12,
NCT04626050,NO,2025-01,
NCT06004323,NO,2024-12-31,
NCT05035550,NO,2021-05-05,
NCT04668950,YES,2021-09-28,2022-09-20
NCT04574050,NO,2022-04-04,
NCT05175950,NO,2023-08,
NCT04377750,NO,2020-04-29,
NCT04642950,NO,2021-10-25,
NCT04511650,YES,2021-02-26,2022-09-19
NCT04536350,NO,2023-06-14,
NCT05308550,NO,2021-02-27,
NCT04444323,NO,2022-03-31,
NCT04382950,NO,2021-08,
NCT04333550,NO,2020-09,
NCT04613050,NO,2022-10-24,
NCT04621123,NO,2021-05-31,
NCT04684550,NO,2021-06-15,
NCT04715295,NO,2021-05-30,
NCT04884295,NO,2022-03-18,
NCT05771714,NO,2023-05-11,
NCT05370014,NO,2026-06,
NCT04922814,NO,2022-03-01,
NCT04600895,NO,2021-10-20,
NCT04641195,NO,2022-07-01,
NCT04329195,NO,2020-12-09,
NCT05137795,NO,2022-06-15,
NCT04860895,NO,2021-05-01,
NCT05798195,NO,2024-12-31,
NCT04359095,NO,2021-03-20,
NCT05799495,NO,2023-09-13,
NCT04777981,NO,2022-12-05,
NCT04351295,NO,2020-09-28,
NCT04330495,NO,2020-11-06,
NCT04730895,NO,2021-09,
NCT05263895,NO,2022-05-16,
NCT04583995,NO,2022-03-29,
NCT04751695,NO,2021-03,
NCT05780281,YES,2021-06-09,2023-10-26
NCT04527081,NO,2020-11-09,
NCT04348695,NO,2021-01-31,
NCT05656495,NO,2022-11-22,
NCT05421195,NO,2023-02-01,
NCT06217614,NO,2022-09-01,
NCT04358614,NO,2020-04-05,
NCT04492514,NO,2021-05-31,
NCT04808895,NO,2021-07-01,
NCT04997395,NO,2023-01-06,
NCT04482595,NO,2024-06-30,
NCT05092581,NO,2022-06-09,
NCT04465695,NO,2021-06-30,
NCT06099795,NO,2025-06,
NCT05114395,NO,2021-07-12,
NCT04742595,NO,2024-03-31,
NCT04396314,NO,2021-12-30,
NCT04388514,NO,2020-10-08,
NCT05162495,NO,2022-06-01,
NCT04453514,NO,2021-06-19,
NCT04542395,NO,2025-11-30,
NCT05055414,NO,2022-10-01,
NCT04642014,NO,2022-01-04,
NCT04275414,NO,2020-04-05,
NCT04435795,YES,2021-06-08,2022-04-21
NCT04426695,YES,2021-05-07,2022-05-05
NCT04513314,NO,2023-03-28,
NCT05518695,NO,2022-11-07,
NCT04464395,NO,2021-03-01,
NCT04539795,YES,2021-10-29,2022-10-17
NCT04331795,YES,2020-06-05,2021-04-19
NCT04977050,NO,2022-10-31,
NCT05000346,NO,2022-12-21,
NCT05226546,NO,2021-08-01,
NCT05171946,NO,2023-03-01,
NCT04523246,NO,2021-12-30,
NCT04742946,NO,2022-12-30,
NCT04352946,NO,2020-06-24,
NCT04684446,NO,2021-11-26,
NCT04794946,NO,2022-03-19,
NCT04375046,NO,2021-08,
NCT04401046,NO,2020-11-26,
NCT05074446,NO,2022-06-15,
NCT04616846,NO,2022-01-25,
NCT04516746,YES,2021-03-05,2022-03-03
NCT05894746,NO,2024-12-01,
NCT04839146,YES,2021-12-30,2023-06-07
NCT05234346,NO,2022-06-18,
NCT04659746,NO,2021-02-28,
NCT04273646,NO,2020-06-30,
NCT04458246,NO,2020-12,
NCT05205746,NO,2022-08-09,
NCT04991246,NO,2021-12-15,
NCT04841746,NO,2024-06-04,
NCT04399746,NO,2020-05-20,
NCT04346446,NO,2020-05-30,
NCT04709146,NO,2022-02-28,
NCT04581746,NO,2022-06,
NCT04557046,NO,2021-03-24,
NCT05313646,NO,2021-04-08,
NCT04871646,NO,2022-03,
NCT05582746,NO,2023-04-30,
NCT05981846,NO,2023-10-09,
NCT05373446,NO,2022-10-31,
NCT04377646,NO,2020-05-24,
NCT04433546,NO,2020-12-02,
NCT05655546,NO,2024-01,
NCT05135546,NO,2023-02-01,
NCT04604223,NO,2021-06-29,
NCT04508023,YES,2022-06-01,2023-06-01
NCT04678843,NO,2021-07-31,
NCT04405908,NO,2021-10-20,
NCT05890508,NO,2025-01-31,
NCT04545008,YES,2021-06-02,2022-02-04
NCT04609423,NO,2021-06-02,
NCT04351243,YES,2020-12-01,2021-11-26
NCT04486508,NO,2021-04-04,
NCT05543408,NO,2022-08-02,
NCT04345523,NO,2021-02-05,
NCT05069103,NO,2022-06,
NCT04632043,NO,2021-03-15,
NCT05282043,NO,2023-04-30,
NCT04724538,YES,2021-02-10,2021-05-02
NCT04385108,NO,2020-12-31,
NCT05252923,NO,2022-09-01,
NCT04335123,NO,2020-06-21,
NCT04356495,NO,2021-10-08,
NCT04881214,NO,2023-06-30,
NCT04332081,YES,2020-05-29,2021-06-14
NCT04443881,NO,2021-03-31,
NCT04672395,NO,2022-09-15,
NCT04595695,NO,2020-11-12,
NCT04763681,NO,2023-06-30,
NCT04924881,NO,2023-01-31,
NCT05436795,NO,2023-12,
NCT04350281,NO,2020-07-01,
NCT04351581,NO,2022-12-22,
NCT04358081,YES,2020-07-27,2021-03-08
NCT05087381,NO,2022-06-21,
NCT04390503,NO,2022-01-06,
NCT04936503,NO,2021-03-02,
NCT05077943,NO,2023-01-31,
NCT05946538,NO,2024-02,
NCT04296643,NO,2022-06-01,
NCT04403243,NO,2020-07-22,
NCT04907903,NO,2022-12-01,
NCT04924803,NO,2024-04-30,
NCT04629703,NO,2022-09-05,
NCT04804943,NO,2024-06-30,
NCT05547243,NO,2022-12-23,
NCT04409743,NO,2021-10-14,
NCT05675943,NO,2024-01-31,
NCT04495543,NO,2023-03-24,
NCT05557643,NO,2024-01-01,
NCT05102643,NO,2022-06,
NCT05375838,YES,2022-12-29,2023-12-15
NCT04866303,YES,2022-02-25,2023-02-23
NCT06172803,NO,2024-01,
NCT05373043,NO,2027-10-31,
NCT04347681,NO,2020-11-01,
NCT04764981,NO,2022-05,
NCT04475081,NO,2022-05-15,
NCT04887350,NO,2022-04-09,
NCT04490850,NO,2021-09-24,
NCT04785781,NO,2021-04-14,
NCT04560881,NO,2021-12-13,
NCT04385095,NO,2021-02-17,
NCT04489446,NO,2021-04-30,
NCT04666012,NO,2021-07-09,
NCT05011812,NO,2022-03-26,
NCT04347512,NO,2020-06-02,
NCT05741112,NO,2025-12-01,
NCT05719012,NO,2023-12-01,
NCT04495803,NO,2021-09-01,
NCT04358003,NO,2021-11-26,
NCT05470803,NO,2022-12,
NCT04646603,NO,2022-03-31,
NCT04883203,NO,2020-09-30,
NCT05481203,NO,2022-06-01,
NCT05539703,NO,2023-01,
NCT05252481,NO,2022-06-26,
NCT04410510,NO,2021-06-30,
NCT05293210,NO,2023-11-01,
NCT04344210,NO,2020-09-20,
NCT06004310,NO,2024-01-25,
NCT04872712,NO,2021-10-31,
NCT04734912,NO,2021-06-15,
NCT04803812,NO,2021-09-02,
NCT04378712,NO,2020-03-23,
NCT05583812,NO,2022-12-30,
NCT05196581,NO,2022-07-01,
NCT04710381,NO,2021-06-02,
NCT04433910,NO,2021-01-21,
NCT04613310,NO,2020-12-31,
NCT04349410,NO,2020-09-14,
NCT04944381,NO,2021-08-02,
NCT05433181,NO,2024-04-01,
NCT04447781,NO,2021-07-12,
NCT04359810,NO,2020-12-30,
NCT04578210,NO,2022-01-13,
NCT04419610,NO,2021-05-12,
NCT04951310,NO,2021-08-14,
NCT04966910,YES,2022-06-13,2023-07-18
NCT04572412,NO,2022-06-30,
NCT04339712,NO,2020-12-01,
NCT04640181,NO,2021-06-28,
NCT05895110,NO,2022-11-19,
NCT04846010,NO,2022-05-01,
NCT05541510,NO,2024-10-31,
NCT05005312,YES,2021-12-07,2022-10-24
NCT05946512,NO,2026-07-24,
NCT04385810,NO,2020-07-29,
NCT04664010,NO,2022-09-14,
NCT04341610,NO,2021-01-30,
NCT04523610,NO,2021-10,
NCT05841810,NO,2026-07-01,
NCT04424212,NO,2021-09-10,
NCT04614012,NO,2022-07-02,
NCT04399681,NO,2020-08-10,
NCT05004181,NO,2023-08-16,
NCT04896710,NO,2021-08-31,
NCT05069610,NO,2023-10-31,
NCT05947812,NO,2024-04-27,
NCT05033210,NO,2023-03,
NCT04405310,NO,2020-11-20,
NCT05765591,NO,2022-10-29,
NCT05074394,NO,2022-11,
NCT04260594,NO,2020-03-12,
NCT04415060,NO,2024-06-15,
NCT04977960,NO,2023-05,
NCT04364594,NO,2020-04-24,
NCT05940194,NO,2021-10-18,
NCT05587894,NO,2024-05,
NCT05305560,NO,2022-09-15,
NCT04857060,NO,2022-10-31,
NCT04469491,NO,2023-06-16,
NCT04455360,NO,2021-09-20,
NCT04244591,NO,2020-04-13,
NCT05375760,NO,2023-10-04,
NCT04357860,NO,2021-03-09,
NCT04924660,NO,2023-10-25,
NCT04475991,NO,2022-03-15,
NCT04906694,NO,2022-01-13,
NCT05178160,NO,2021-04-30,
NCT05729360,NO,2023-12,
NCT04387760,NO,2021-03-06,
NCT05385991,NO,2023-06-30,
NCT04429594,NO,2025-07-15,
NCT04386694,NO,2020-09-17,
NCT04366960,NO,2021-05-25,
NCT05504460,NO,2024-12-31,
NCT04686760,NO,2021-12-15,
NCT04351191,NO,2020-08-23,
NCT04390191,YES,2021-02-18,2022-07-11
NCT04847791,NO,2022-01-31,
NCT04406194,YES,2020-05-22,2020-06-10
NCT04969991,NO,2022-02-11,
NCT05668091,NO,2024-04-09,
NCT05279391,NO,2021-11-30,
NCT04366791,NO,2022-03-11,
NCT04723394,YES,2021-08-21,2022-08-17
NCT04754594,NO,2022-07-15,
NCT05205460,NO,2024-09-30,
NCT05096260,NO,2024-09-05,
NCT04581291,NO,2020-06-01,
NCT04672291,NO,2023-04-01,
NCT04423991,NO,2020-06-04,
NCT04880694,NO,2022-01-07,
NCT05539560,NO,2024-04-30,
NCT05682560,NO,2024-10,
NCT04339660,NO,2020-06-30,
NCT04545060,YES,2021-04-08,2022-09-06
NCT04662060,YES,2022-05-03,2023-05-02
NCT05227560,NO,2021-12-19,
NCT04661189,NO,2022-05-01,
NCT04626089,NO,2021-02,
NCT04400929,NO,2022-01-26,
NCT05437029,NO,2022-10-15,
NCT04845880,NO,2021-03-01,
NCT05270980,YES,2022-02-04,2023-02-07
NCT05104489,NO,2022-12-29,
NCT04935489,NO,2023-01-15,
NCT04391829,NO,2021-08-31,
NCT04333589,NO,2020-06-01,
NCT06027229,NO,2024-09,
NCT05437289,NO,2021-11-27,
NCT04844489,NO,2022-11-24,
NCT05608629,YES,2022-12-05,2023-03-31
NCT05697029,NO,2025-12-12,
NCT04359680,NO,2024-05,
NCT05733780,NO,2023-12,
NCT04343989,YES,2021-02-03,2022-02-06
NCT04362189,YES,2021-09-30,2023-06-07
NCT05497089,NO,2024-06-30,
NCT04328129,NO,2021-09-30,
NCT04346329,NO,2020-06-30,
NCT04377789,NO,2020-07-31,
NCT04372680,NO,2022-04-01,
NCT04476680,NO,2021-04-28,
NCT05226429,NO,2023-04-06,
NCT05239429,NO,2021-06-30,
NCT04667780,NO,2021-07-09,
NCT04366089,NO,2020-10-30,
NCT04359329,NO,2020-07-30,
NCT05522829,NO,2022-12-15,
NCT04786080,NO,2021-10-10,
NCT04334629,NO,2021-05-25,
NCT04429529,NO,2020-11-19,
NCT05582629,NO,2023-02-14,
NCT05147480,NO,2021-09-27,
NCT04389580,NO,2021-10,
NCT04347980,NO,2020-08-07,
NCT04610489,YES,2021-03-10,2021-06-28
NCT04485429,NO,2022-12-31,
NCT04967729,NO,2022-03-07,
NCT04844580,NO,2022-06-07,
NCT05378191,NO,2022-08-22,
NCT04728594,YES,2021-01-17,2021-07-16
NCT04622891,NO,2020-07-30,
NCT05578391,NO,2020-12-31,
NCT04386291,NO,2021-04-19,
NCT04643691,NO,2022-09-30,
NCT04929691,NO,2021-12,
NCT04451291,NO,2023-11-07,
NCT04898062,NO,2022-12-31,
NCT04983394,NO,2022-01-30,
NCT04517162,NO,2021-02-19,
NCT05822180,NO,2022-01-01,
NCT05113862,NO,2022-09-15,
